Mean charge during dwell time tau at ne=1E20m**-3 and Te[1-10000eV]
** <Z>
ne=1E20m**-3
     200           5 # of Te values, dwell times
Te[eV]
 2.774e+00 2.865e+00 2.947e+00 3.009e+00 3.076e+00 3.152e+00 3.237e+00 3.334e+00
 3.439e+00 3.550e+00 3.665e+00 3.767e+00 3.853e+00 3.944e+00 4.042e+00 4.147e+00
 4.263e+00 4.380e+00 4.476e+00 4.576e+00 4.679e+00 4.787e+00 4.902e+00 5.026e+00
 5.166e+00 5.328e+00 5.489e+00 5.640e+00 5.811e+00 6.005e+00 6.220e+00 6.452e+00
 6.691e+00 6.927e+00 7.146e+00 7.339e+00 7.499e+00 7.611e+00 7.686e+00 7.748e+00
 7.798e+00 7.839e+00 7.871e+00 7.898e+00 7.918e+00 7.930e+00 7.941e+00 7.950e+00
 7.958e+00 7.965e+00 7.970e+00 7.975e+00 7.978e+00 7.980e+00 7.982e+00 7.984e+00
 7.986e+00 7.989e+00 7.991e+00 7.995e+00 7.999e+00 8.004e+00 8.010e+00 8.019e+00
 8.030e+00 8.045e+00 8.066e+00 8.090e+00 8.115e+00 8.146e+00 8.185e+00 8.232e+00
 8.291e+00 8.363e+00 8.452e+00 8.558e+00 8.650e+00 8.740e+00 8.838e+00 8.943e+00
 9.051e+00 9.161e+00 9.269e+00 9.373e+00 9.468e+00 9.555e+00 9.632e+00 9.684e+00
 9.726e+00 9.763e+00 9.795e+00 9.823e+00 9.848e+00 9.869e+00 9.885e+00 9.898e+00
 9.909e+00 9.919e+00 9.928e+00 9.936e+00 9.943e+00 9.949e+00 9.954e+00 9.958e+00
 9.961e+00 9.965e+00 9.968e+00 9.970e+00 9.973e+00 9.975e+00 9.977e+00 9.979e+00
 9.980e+00 9.982e+00 9.983e+00 9.984e+00 9.985e+00 9.986e+00 9.987e+00 9.988e+00
 9.988e+00 9.989e+00 9.990e+00 9.990e+00 9.991e+00 9.991e+00 9.992e+00 9.992e+00
 9.992e+00 9.993e+00 9.993e+00 9.993e+00 9.994e+00 9.994e+00 9.994e+00 9.994e+00
 9.995e+00 9.995e+00 9.995e+00 9.995e+00 9.995e+00 9.995e+00 9.996e+00 9.996e+00
 9.996e+00 9.996e+00 9.996e+00 9.996e+00 9.996e+00 9.996e+00 9.996e+00 9.997e+00
