Mean quadratic charge as a function dwell time.
Temperature :      1.0 -  40000.0 eV
Density     : 1.00e+20m-3
   200     5  # Te values, dwell time

Source data:
acd : /home/adas/adas/adf11/acd96/acd96_ne.dat
scd : /home/adas/adas/adf11/scd96/scd96_ne.dat
plt : /home/adas/adas/adf11/plt96/plt96_ne.dat
prb : /home/adas/adas/adf11/prb96/prb96_ne.dat

Te[eV]
 8.018e+00 8.031e+00 8.048e+00 8.071e+00 8.101e+00 8.139e+00 8.186e+00 8.244e+00
 8.313e+00 8.396e+00 8.492e+00 8.601e+00 8.722e+00 8.852e+00 8.986e+00 9.118e+00
 9.244e+00 9.359e+00 9.461e+00 9.549e+00 9.624e+00 9.686e+00 9.738e+00 9.780e+00
 9.815e+00 9.843e+00 9.867e+00 9.886e+00 9.902e+00 9.915e+00 9.926e+00 9.935e+00
 9.943e+00 9.950e+00 9.956e+00 9.960e+00 9.965e+00 9.968e+00 9.971e+00 9.974e+00
 9.976e+00 9.979e+00 9.980e+00 9.982e+00 9.984e+00 9.985e+00 9.986e+00 9.987e+00
 9.988e+00 9.989e+00 9.990e+00 9.990e+00 9.991e+00 9.992e+00 9.992e+00 9.993e+00
 9.993e+00 9.994e+00 9.994e+00 9.994e+00 9.995e+00 9.995e+00 9.995e+00 9.995e+00
 9.996e+00 9.996e+00 9.996e+00 9.996e+00 9.996e+00 9.997e+00 9.997e+00 9.997e+00
 9.997e+00 9.997e+00 9.997e+00 9.997e+00 9.997e+00 9.997e+00 9.998e+00 9.998e+00
 9.998e+00 9.998e+00 9.998e+00 9.998e+00 9.998e+00 9.998e+00 9.998e+00 9.998e+00
 9.998e+00 9.998e+00 9.998e+00 9.998e+00 9.999e+00 9.999e+00 9.999e+00 9.999e+00
 9.999e+00 9.999e+00 9.999e+00 9.999e+00 9.999e+00 9.999e+00 9.999e+00 9.999e+00
sqrt(<Z^2>) in equilibrium - infinite confinement
 2.098e-02 3.544e-02 5.836e-02 9.370e-02 1.465e-01 2.224e-01 3.254e-01 4.536e-01
 5.945e-01 7.258e-01 8.289e-01 8.988e-01 9.420e-01 9.680e-01 9.848e-01 9.989e-01
 1.016e+00 1.044e+00 1.093e+00 1.170e+00 1.280e+00 1.416e+00 1.559e+00 1.686e+00
 1.786e+00 1.858e+00 1.907e+00 1.939e+00 1.960e+00 1.974e+00 1.985e+00 1.995e+00
 2.008e+00 2.027e+00 2.059e+00 2.110e+00 2.185e+00 2.287e+00 2.408e+00 2.537e+00
 2.660e+00 2.768e+00 2.861e+00 2.945e+00 3.029e+00 3.118e+00 3.217e+00 3.326e+00
 3.441e+00 3.557e+00 3.671e+00 3.781e+00 3.889e+00 3.999e+00 4.115e+00 4.236e+00
 4.363e+00 4.491e+00 4.620e+00 4.749e+00 4.878e+00 5.012e+00 5.156e+00 5.316e+00
 5.497e+00 5.704e+00 5.940e+00 6.200e+00 6.476e+00 6.749e+00 7.003e+00 7.223e+00
 7.404e+00 7.547e+00 7.656e+00 7.738e+00 7.800e+00 7.846e+00 7.880e+00 7.906e+00
 7.926e+00 7.941e+00 7.952e+00 7.961e+00 7.968e+00 7.973e+00 7.978e+00 7.981e+00
 7.984e+00 7.986e+00 7.989e+00 7.991e+00 7.994e+00 7.998e+00 8.003e+00 8.009e+00
 8.019e+00 8.032e+00 8.049e+00 8.072e+00 8.102e+00 8.140e+00 8.188e+00 8.246e+00
 8.315e+00 8.398e+00 8.495e+00 8.604e+00 8.726e+00 8.856e+00 8.991e+00 9.124e+00
 9.250e+00 9.365e+00 9.467e+00 9.555e+00 9.629e+00 9.691e+00 9.742e+00 9.784e+00
 9.818e+00 9.846e+00 9.870e+00 9.889e+00 9.904e+00 9.917e+00 9.928e+00 9.937e+00
 9.945e+00 9.952e+00 9.957e+00 9.962e+00 9.966e+00 9.969e+00 9.973e+00 9.975e+00
 9.978e+00 9.980e+00 9.981e+00 9.983e+00 9.984e+00 9.986e+00 9.987e+00 9.988e+00
 9.989e+00 9.990e+00 9.991e+00 9.991e+00 9.992e+00 9.992e+00 9.993e+00 9.993e+00
 9.994e+00 9.994e+00 9.995e+00 9.995e+00 9.995e+00 9.996e+00 9.996e+00 9.996e+00
 9.996e+00 9.997e+00 9.997e+00 9.997e+00 9.997e+00 9.997e+00 9.997e+00 9.998e+00
 9.998e+00 9.998e+00 9.998e+00 9.998e+00 9.998e+00 9.998e+00 9.998e+00 9.998e+00
 9.998e+00 9.999e+00 9.999e+00 9.999e+00 9.999e+00 9.999e+00 9.999e+00 9.999e+00
 9.999e+00 9.999e+00 9.999e+00 9.999e+00 9.999e+00 9.999e+00 9.999e+00 9.999e+00
 9.999e+00 9.999e+00 9.999e+00 9.999e+00 9.999e+00 9.999e+00 1.000e+01 1.000e+01
